 Morbidade Hospitalar do SUS - por local de residência - Brasil
Internações por Município e Ano atendimento
Lista Morb  CID-10: Dengue [dengue clásssico]
Período:Jan/2008-Set/2025
"Município";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"140010 BOA VISTA";-;702;428;467;86;86;27;28;57;24;39;13;86;34;7;5;6;13;9;2117
"140015 BONFIM";-;27;27;12;1;4;3;1;-;-;2;-;3;-;-;-;-;-;-;80
"140017 CANTA";-;13;11;16;2;2;-;2;1;2;-;-;3;3;-;-;-;1;-;56
"140020 CARACARAI";-;12;14;162;20;7;8;8;17;1;1;1;3;2;1;1;-;-;2;260
"140023 CAROEBE";-;3;56;79;4;2;-;-;1;1;-;-;8;1;-;-;-;1;1;157
"140028 IRACEMA";-;3;3;4;-;2;-;1;3;1;-;-;-;-;-;-;-;-;1;18
"140030 MUCAJAI";-;21;44;76;9;18;4;4;26;2;-;1;9;-;-;-;-;1;-;215
"140040 NORMANDIA";-;3;1;3;3;1;3;4;5;-;2;-;2;3;-;1;-;-;-;31
"140045 PACARAIMA";-;14;12;49;4;4;1;9;4;4;1;1;1;-;-;-;-;2;2;108
"140047 RORAINOPOLIS";-;46;36;41;7;4;3;4;1;1;4;2;1;1;-;-;-;1;1;153
"140050 SAO JOAO DA BALIZA";-;30;97;163;30;65;13;4;3;4;24;3;3;-;-;-;-;-;-;439
"140060 SAO LUIZ";-;1;4;44;6;23;1;-;-;-;1;1;-;-;-;-;-;1;-;82
"140070 UIRAMUTA";-;1;2;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"150010 ABAETETUBA";10;88;52;261;201;238;138;30;55;94;36;9;7;2;-;1;4;106;60;1392
"150013 ABEL FIGUEIREDO";1;12;25;30;18;28;15;7;5;3;4;1;7;1;-;-;-;3;2;162
"150020 ACARA";7;86;57;23;9;11;4;6;4;1;3;2;2;-;-;1;-;6;2;224
"150030 AFUA";-;4;-;4;3;1;1;-;2;-;1;2;-;-;-;-;1;17;10;46
"150034 AGUA AZUL DO NORTE";28;194;87;111;58;51;54;5;11;25;193;1;35;13;-;10;20;14;29;939
"150040 ALENQUER";-;36;1;-;7;1;-;-;27;1;-;6;3;3;34;14;3;108;6;250
"150050 ALMEIRIM";-;-;-;-;-;1;-;-;-;-;4;1;-;-;-;3;-;45;14;68
"150060 ALTAMIRA";-;2;154;414;524;447;369;254;215;91;47;11;3;25;4;6;7;43;45;2661
"150070 ANAJAS";-;1;-;-;10;1;4;1;2;-;3;-;-;-;-;2;6;34;31;95
"150080 ANANINDEUA";64;575;227;709;750;459;180;47;39;25;4;14;13;1;2;-;-;17;3;3129
"150085 ANAPU";-;-;9;29;13;6;46;53;6;13;46;3;43;19;1;8;2;25;35;357
"150090 AUGUSTO CORREA";2;137;146;163;170;143;81;12;95;69;28;91;28;7;1;1;-;8;25;1207
"150095 AURORA DO PARA";-;7;1;1;10;11;5;3;4;10;3;3;-;-;-;1;4;2;3;68
"150100 AVEIRO";-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"150110 BAGRE";-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;1;-;4
"150120 BAIAO";-;3;2;1;-;-;1;1;-;-;-;2;1;2;-;2;-;7;2;24
"150125 BANNACH";-;7;6;21;27;1;37;8;3;1;7;-;7;2;-;2;1;9;6;145
"150130 BARCARENA";1;21;15;55;51;90;46;12;21;19;4;5;1;1;-;-;-;36;21;399
"150140 BELEM";12;236;218;482;264;185;74;43;47;14;7;15;20;18;12;5;9;251;48;1960
"150145 BELTERRA";-;31;17;48;41;32;15;1;1;1;14;5;1;-;3;1;-;-;3;214
"150150 BENEVIDES";-;14;22;41;28;11;4;2;3;2;-;4;1;-;-;-;1;3;1;137
"150157 BOM JESUS DO TOCANTINS";10;93;55;66;43;8;4;3;5;20;26;9;9;2;1;3;3;9;16;385
"150160 BONITO";-;13;3;3;-;4;-;1;-;-;-;1;1;1;-;-;-;-;-;27
"150170 BRAGANCA";9;250;114;180;277;163;100;43;51;186;189;39;68;32;3;8;3;13;8;1736
"150172 BRASIL NOVO";-;-;1;7;8;5;6;2;6;7;3;-;2;3;-;-;1;1;39;91
"150175 BREJO GRANDE DO ARAGUAIA";1;29;19;11;15;9;3;9;10;12;8;12;2;-;1;1;1;2;1;146
"150178 BREU BRANCO";3;43;12;3;9;4;3;3;17;11;1;-;3;3;1;-;2;4;38;160
"150180 BREVES";-;12;20;16;31;21;16;6;35;35;-;3;3;1;3;5;3;11;5;226
"150190 BUJARU";-;14;1;9;1;103;62;46;38;65;35;-;-;-;1;-;-;1;3;379
"150195 CACHOEIRA DO PIRIA";-;7;4;3;2;-;-;-;-;6;-;-;1;-;-;-;-;-;-;23
"150200 CACHOEIRA DO ARARI";-;-;-;4;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;6
"150210 CAMETA";9;146;81;208;172;84;35;7;11;17;3;-;-;-;-;2;9;99;11;894
"150215 CANAA DOS CARAJAS";-;4;11;17;15;5;1;7;14;6;13;1;18;-;2;16;15;50;81;276
"150220 CAPANEMA";1;93;85;65;58;60;18;14;15;45;2;5;20;-;-;-;-;4;3;488
"150230 CAPITAO POCO";2;44;12;2;7;17;12;5;15;17;9;13;-;-;1;-;2;-;2;160
"150240 CASTANHAL";1;52;74;92;106;39;23;21;25;15;18;17;10;5;1;3;15;88;62;667
"150250 CHAVES";-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;5;2;10
"150260 COLARES";1;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"150270 CONCEICAO DO ARAGUAIA";14;246;100;68;125;97;84;26;30;44;43;30;63;19;144;113;88;59;83;1476
"150275 CONCORDIA DO PARA";-;1;2;3;4;8;2;1;1;1;-;4;4;-;-;-;1;13;3;48
"150276 CUMARU DO NORTE";-;5;2;-;5;4;9;20;15;16;6;-;1;1;5;8;30;10;22;159
"150277 CURIONOPOLIS";5;37;69;16;30;4;3;6;1;-;14;17;77;55;-;2;-;3;9;348
"150280 CURRALINHO";-;2;2;2;1;1;1;-;1;1;-;-;-;-;-;-;-;10;2;23
"150290 CURUCA";-;3;-;61;8;3;7;3;5;7;1;-;2;-;1;-;-;24;3;128
"150293 DOM ELISEU";2;173;81;16;23;44;74;75;72;290;64;5;18;4;1;5;-;4;15;966
"150295 ELDORADO DOS CARAJAS";6;17;29;2;53;11;7;16;4;14;-;-;1;-;-;4;-;3;27;194
"150300 FARO";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3;-;4
"150304 FLORESTA DO ARAGUAIA";-;11;62;27;59;11;5;1;8;13;2;2;1;-;1;17;33;5;42;300
"150307 GARRAFAO DO NORTE";-;2;1;1;1;1;2;-;2;1;-;1;1;-;-;1;-;3;-;17
"150309 GOIANESIA DO PARA";1;81;52;10;35;52;5;2;3;122;130;15;28;6;-;19;51;24;19;655
"150310 GURUPA";-;-;-;-;3;6;-;-;4;1;-;-;-;-;-;-;1;21;-;36
"150320 IGARAPE-ACU";1;12;13;5;25;20;4;1;1;-;-;5;-;-;-;-;2;5;3;97
"150330 IGARAPE-MIRI";-;34;11;13;28;11;6;-;1;7;2;2;1;-;-;2;2;12;7;139
"150340 INHANGAPI";-;2;15;26;28;53;4;4;88;32;1;-;-;-;-;-;-;1;-;254
"150345 IPIXUNA DO PARA";-;1;1;6;13;3;7;12;9;4;2;-;3;-;-;-;6;1;5;73
"150350 IRITUIA";-;6;58;2;13;49;43;13;8;5;3;23;3;-;-;-;2;5;1;234
"150360 ITAITUBA";61;194;57;195;125;51;35;46;24;8;5;2;1;11;9;-;1;2;23;850
"150370 ITUPIRANGA";1;92;74;74;87;29;38;16;10;35;19;8;8;-;-;4;6;3;8;512
"150375 JACAREACANGA";-;2;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"150380 JACUNDA";72;160;107;103;361;223;111;59;23;9;73;8;6;1;3;25;43;35;122;1544
"150390 JURUTI";-;15;64;44;20;18;19;-;-;3;-;-;-;-;1;-;-;1;-;185
"150400 LIMOEIRO DO AJURU";3;18;13;4;13;6;1;-;1;-;1;-;-;-;1;-;-;8;5;74
"150405 MAE DO RIO";4;38;59;4;11;41;34;4;7;3;3;24;17;2;-;2;11;10;13;287
"150410 MAGALHAES BARATA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150420 MARABA";16;115;46;10;39;13;7;7;19;12;6;-;13;-;4;11;10;30;32;390
