 Morbidade Hospitalar do SUS - por local de residência - Brasil
Internações por Município e Ano atendimento
Lista Morb  CID-10: Dengue [dengue clásssico]
Período:Jan/2008-Set/2025
"Município";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"150590 PORTO DE MOZ";-;-;2;3;3;-;-;-;2;4;1;-;-;-;1;-;-;3;2;21
"150600 PRAINHA";-;-;-;5;36;2;2;2;5;13;2;2;2;-;-;6;3;30;17;127
"150610 PRIMAVERA";-;7;12;4;5;6;-;-;-;1;-;-;-;-;-;3;-;-;1;39
"150611 QUATIPURU";-;5;1;5;4;1;-;1;1;1;-;-;1;-;-;-;-;-;-;20
"150613 REDENCAO";11;182;50;92;79;56;18;14;3;6;35;22;12;8;20;39;8;10;233;898
"150616 RIO MARIA";9;150;102;182;142;51;87;10;8;16;6;3;5;5;4;3;14;61;55;913
"150618 RONDON DO PARA";42;191;50;46;91;56;28;12;43;140;20;12;14;1;-;2;4;9;2;763
"150619 RUROPOLIS";21;41;36;6;15;14;26;3;29;33;5;3;4;4;6;6;6;44;11;313
"150620 SALINOPOLIS";1;20;26;95;62;74;16;37;9;6;5;6;7;2;-;3;5;6;1;381
"150630 SALVATERRA";-;4;-;-;6;14;-;1;-;-;-;-;-;-;-;-;-;-;-;25
"150635 SANTA BARBARA DO PARA";-;1;3;-;6;4;1;-;-;-;-;-;-;-;-;-;-;2;-;17
"150640 SANTA CRUZ DO ARARI";-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;4;-;6
"150650 SANTA IZABEL DO PARA";62;511;226;17;10;64;32;10;28;2;-;4;1;1;-;1;1;10;2;982
"150655 SANTA LUZIA DO PARA";-;5;1;3;1;1;1;1;1;2;-;1;-;1;-;-;-;-;-;18
"150658 SANTA MARIA DAS BARREIRAS";3;25;9;-;3;12;17;6;2;2;5;7;13;5;9;25;14;13;8;178
"150660 SANTA MARIA DO PARA";1;41;64;100;222;146;139;41;13;18;24;9;1;-;-;-;8;8;4;839
"150670 SANTANA DO ARAGUAIA";5;244;41;28;11;62;44;7;17;62;9;4;21;12;54;49;11;17;39;737
"150680 SANTAREM";1;103;15;30;75;19;34;9;13;11;3;1;2;1;4;5;1;10;36;373
"150690 SANTAREM NOVO";-;3;-;5;1;-;-;1;-;1;-;-;-;2;-;-;-;1;-;14
"150700 SANTO ANTONIO DO TAUA";4;75;66;-;1;2;-;-;-;-;-;-;2;-;-;-;-;1;-;151
"150710 SAO CAETANO DE ODIVELAS";-;1;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;6
"150715 SAO DOMINGOS DO ARAGUAIA";31;105;40;38;34;9;1;1;6;3;-;-;-;-;-;-;2;2;13;285
"150720 SAO DOMINGOS DO CAPIM";-;2;-;6;4;7;3;7;-;-;7;2;1;2;-;1;2;6;3;53
"150730 SAO FELIX DO XINGU";6;80;146;127;89;184;80;78;34;47;19;8;33;15;13;33;19;14;34;1059
"150740 SAO FRANCISCO DO PARA";-;-;-;6;3;-;-;1;1;-;1;-;-;-;-;-;-;3;-;15
"150745 SAO GERALDO DO ARAGUAIA";1;189;90;24;181;153;111;62;39;75;191;5;7;-;3;29;1;6;3;1170
"150746 SAO JOAO DA PONTA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"150747 SAO JOAO DE PIRABAS";-;119;123;140;25;34;11;4;3;2;6;-;1;1;1;1;57;26;5;559
"150750 SAO JOAO DO ARAGUAIA";1;16;18;88;68;16;21;-;3;58;50;49;27;1;4;8;3;9;17;457
"150760 SAO MIGUEL DO GUAMA";-;18;27;13;24;15;5;8;7;3;2;1;1;-;-;4;3;11;20;162
"150770 SAO SEBASTIAO DA BOA VISTA";2;12;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;5;4;26
"150775 SAPUCAIA";-;3;13;5;8;13;39;7;12;35;3;1;2;-;1;2;1;2;15;162
"150780 SENADOR JOSE PORFIRIO";-;-;3;5;9;9;9;16;58;8;3;2;20;8;23;16;14;18;12;233
"150790 SOURE";1;40;16;123;128;231;23;3;22;15;5;-;8;9;-;1;1;4;4;634
"150795 TAILANDIA";1;30;10;113;82;10;3;8;3;3;2;4;4;-;-;-;5;4;15;297
"150796 TERRA ALTA";-;-;-;1;1;-;-;2;-;1;1;-;-;-;-;-;-;2;-;8
"150797 TERRA SANTA";-;2;-;-;1;-;-;-;-;1;-;1;-;-;-;1;-;2;-;8
"150800 TOME-ACU";17;27;34;51;88;86;35;33;19;36;2;3;9;1;1;1;3;19;39;504
"150803 TRACUATEUA";2;32;6;54;43;14;7;5;14;52;13;15;12;3;5;-;4;16;-;297
"150805 TRAIRAO";8;19;-;-;1;-;-;-;2;-;-;-;1;-;25;13;3;28;16;116
"150808 TUCUMA";17;56;33;193;296;146;79;53;77;173;204;19;77;162;44;55;22;56;70;1832
"150810 TUCURUI";12;26;5;8;22;20;3;2;1;1;-;-;3;2;-;2;-;14;22;143
"150812 ULIANOPOLIS";18;63;53;28;144;51;15;6;9;58;1;14;4;-;-;3;5;4;8;484
"150815 URUARA";-;1;69;494;246;222;291;113;114;23;25;4;5;13;3;19;30;36;78;1786
"150820 VIGIA";-;29;24;29;20;29;12;6;7;6;7;3;-;1;-;-;1;65;3;242
"150830 VISEU";-;195;135;197;128;101;100;25;130;176;30;55;25;6;1;4;5;24;13;1350
"150835 VITORIA DO XINGU";-;-;-;96;73;9;33;7;13;5;3;-;3;5;2;10;21;30;48;358
"150840 XINGUARA";16;262;162;201;173;49;46;21;59;77;126;5;17;23;20;43;16;29;91;1436
"160005 SERRA DO NAVIO";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;3
"160010 AMAPA";-;-;-;1;-;1;-;-;-;1;1;-;-;-;-;-;2;5;-;11
"160015 PEDRA BRANCA DO AMAPARI";-;-;-;-;1;1;2;-;-;-;-;1;-;-;-;-;8;21;11;45
"160020 CALCOENE";-;-;4;44;2;1;2;5;42;10;-;-;-;-;-;-;-;41;6;157
"160021 CUTIAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3
"160023 FERREIRA GOMES";-;1;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;12;15;31
"160025 ITAUBAL";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2
"160027 LARANJAL DO JARI";-;2;1;1;8;5;-;35;7;4;-;13;1;-;-;-;7;65;47;196
"160030 MACAPA";2;126;102;105;125;90;45;15;51;11;11;15;6;4;3;2;15;564;91;1383
"160040 MAZAGAO";-;-;-;-;2;2;1;1;2;-;-;1;1;-;-;-;-;23;21;54
"160050 OIAPOQUE";-;12;2;6;1;2;6;24;3;-;11;-;-;1;2;11;21;103;3;208
"160053 PORTO GRANDE";-;-;5;9;45;10;18;12;61;9;7;2;6;-;3;-;-;55;2;244
"160060 SANTANA";3;24;18;38;44;35;13;19;22;13;4;4;5;1;1;-;2;347;89;682
"160070 TARTARUGALZINHO";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;14;3;18
"160080 VITORIA DO JARI";-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3;3;9
"170025 ABREULANDIA";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;3
"170030 AGUIARNOPOLIS";-;1;-;-;5;1;1;-;-;1;-;-;-;-;-;5;-;-;1;15
"170035 ALIANCA DO TOCANTINS";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"170040 ALMAS";-;-;-;4;4;-;1;-;-;1;-;-;4;1;-;1;2;1;1;20
"170070 ALVORADA";-;-;-;-;1;6;39;4;8;5;3;8;8;-;-;4;-;7;4;97
"170100 ANANAS";7;28;58;35;36;5;4;4;2;5;-;2;1;-;2;7;1;1;1;199
"170105 ANGICO";-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;1;2;-;1;7
"170110 APARECIDA DO RIO NEGRO";-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;3
"170130 ARAGOMINAS";-;1;1;1;-;-;-;-;-;2;-;-;-;-;1;2;1;-;-;9
"170190 ARAGUACEMA";-;27;9;2;5;1;13;-;7;9;9;1;1;-;1;25;5;9;16;140
"170200 ARAGUACU";3;46;81;149;147;150;170;172;38;36;26;14;26;-;1;5;2;9;26;1101
"170210 ARAGUAINA";6;126;24;28;60;25;10;7;12;16;35;6;81;8;60;95;19;41;98;757
"170215 ARAGUANA";1;5;2;-;1;1;1;1;1;2;3;2;1;-;4;2;-;1;-;28
"170220 ARAGUATINS";-;32;11;5;16;6;10;16;6;7;17;-;3;4;1;14;5;9;21;183
"170230 ARAPOEMA";3;23;99;85;27;78;44;7;9;10;26;7;13;15;59;36;18;6;4;569
"170240 ARRAIAS";-;-;8;131;23;14;13;3;16;-;1;1;15;2;3;8;9;38;9;294
"170255 AUGUSTINOPOLIS";23;95;71;21;41;47;35;5;7;9;2;-;-;2;-;4;2;2;1;367
"170270 AURORA DO TOCANTINS";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;5
"170290 AXIXA DO TOCANTINS";1;19;18;5;13;8;3;5;4;1;-;1;-;-;-;4;1;-;-;83
"170300 BABACULANDIA";-;1;-;-;-;-;-;-;1;-;1;-;3;-;1;1;-;-;-;8
"170305 BANDEIRANTES DO TOCANTINS";-;1;-;-;4;3;2;-;3;3;3;1;4;2;-;5;-;-;-;31
"170307 BARRA DO OURO";-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;2;1;1;-;7
"170310 BARROLANDIA";-;-;1;-;-;2;-;1;-;-;-;-;-;-;-;3;1;1;-;9
"170320 BERNARDO SAYAO";-;-;3;1;2;5;4;6;4;-;3;-;-;-;9;2;-;-;-;39
"170330 BOM JESUS DO TOCANTINS";2;19;7;16;9;9;1;2;2;2;2;1;2;-;-;2;-;1;-;77
"170360 BRASILANDIA DO TOCANTINS";-;2;-;2;2;4;2;2;-;1;1;-;2;-;-;-;-;-;1;19
"170370 BREJINHO DE NAZARE";-;1;1;1;2;1;-;-;2;3;-;1;-;1;1;3;1;6;-;24
"170380 BURITI DO TOCANTINS";1;10;5;4;4;-;3;-;-;2;-;-;-;-;1;-;-;-;1;31
"170382 CACHOEIRINHA";-;6;1;1;-;-;2;-;-;1;-;-;-;-;-;-;-;1;1;13
"170384 CAMPOS LINDOS";-;-;-;2;1;1;-;-;-;-;-;-;-;-;-;2;-;1;-;7
"170386 CARIRI DO TOCANTINS";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;3
"170388 CARMOLANDIA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;3
"170389 CARRASCO BONITO";2;11;4;3;11;7;3;-;-;1;-;-;-;2;-;-;-;2;-;46
"170390 CASEARA";-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"170410 CENTENARIO";-;3;4;4;-;-;1;-;1;-;-;-;-;-;-;2;-;1;-;16
"170460 CHAPADA DE AREIA";-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"170510 CHAPADA DA NATIVIDADE";-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;2;-;-;1;6
"170550 COLINAS DO TOCANTINS";4;51;69;68;63;79;38;68;73;18;24;1;13;3;42;36;3;28;3;684
"170555 COMBINADO";-;-;-;18;2;-;3;1;2;-;-;-;1;-;1;1;1;4;1;35
"170560 CONCEICAO DO TOCANTINS";-;-;1;1;1;-;5;-;1;-;-;-;-;-;-;-;2;3;3;17
"170600 COUTO MAGALHAES";-;5;-;1;1;1;-;3;1;1;1;-;4;1;1;5;1;-;1;27
"170610 CRISTALANDIA";1;10;3;8;-;-;3;-;-;-;-;-;4;3;1;-;-;1;-;34
"170625 CRIXAS DO TOCANTINS";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;2
"170650 DARCINOPOLIS";-;1;-;-;-;-;-;1;-;1;-;-;-;-;1;1;-;-;-;5
"170700 DIANOPOLIS";-;23;11;38;35;11;13;11;10;11;5;-;-;-;-;5;17;26;12;228
"170710 DIVINOPOLIS DO TOCANTINS";-;20;-;7;4;19;-;2;39;2;1;-;2;-;9;28;6;-;-;139
"170720 DOIS IRMAOS DO TOCANTINS";-;2;4;3;3;3;3;1;-;-;1;-;-;-;-;-;-;-;1;21
"170730 DUERE";-;4;1;7;5;-;7;-;-;-;-;-;1;-;-;1;-;2;1;29
"170740 ESPERANTINA";2;6;4;2;4;2;3;-;-;1;-;-;-;-;-;-;-;-;-;24
"170755 FATIMA";-;3;-;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"170765 FIGUEIROPOLIS";-;3;2;11;-;-;1;1;2;-;-;-;-;-;-;-;-;4;-;24
"170770 FILADELFIA";-;-;-;1;1;2;1;-;-;-;-;-;2;-;-;-;-;-;1;8
"170820 FORMOSO DO ARAGUAIA";-;6;4;24;23;19;59;16;7;6;-;-;6;-;6;4;3;5;8;196
"170825 FORTALEZA DO TABOCAO";-;-;-;-;-;1;1;3;1;-;1;-;1;-;2;2;-;-;-;12
"170830 GOIANORTE";-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"170900 GOIATINS";-;4;-;1;2;2;11;10;3;2;4;1;3;-;-;5;-;1;1;50
"170930 GUARAI";-;5;2;1;-;12;13;5;4;9;12;1;23;1;18;10;1;2;-;119
"170950 GURUPI";-;4;-;6;11;7;3;2;3;1;1;-;6;5;4;19;5;7;4;88
"170980 IPUEIRAS";-;-;-;1;1;-;2;-;-;1;-;-;3;-;1;1;-;-;-;10
"171050 ITACAJA";1;1;-;-;2;-;78;45;15;16;2;8;1;-;2;3;1;1;-;176
"171070 ITAGUATINS";1;4;21;14;24;2;3;-;2;-;-;-;-;-;-;1;-;-;-;72
"171090 ITAPIRATINS";-;4;1;2;-;-;2;-;-;-;1;-;-;-;2;2;-;1;-;15
"171110 ITAPORA DO TOCANTINS";-;-;1;-;-;1;-;-;-;1;-;-;1;1;-;-;-;-;-;5
"171150 JAU DO TOCANTINS";-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;1;4
"171180 JUARINA";-;-;2;2;-;-;1;3;1;-;-;-;-;-;-;1;-;-;4;14
"171190 LAGOA DA CONFUSAO";-;2;1;-;3;-;6;-;2;6;-;5;7;4;-;1;-;1;-;38
"171195 LAGOA DO TOCANTINS";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;4
"171200 LAJEADO";-;1;1;1;1;-;5;-;3;2;1;2;3;-;-;-;-;-;-;20
"171215 LAVANDEIRA";-;-;-;-;2;-;-;-;-;-;1;-;1;-;-;-;-;6;1;11
"171240 LIZARDA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"171245 LUZINOPOLIS";-;3;-;-;1;3;-;1;-;-;-;-;-;-;1;-;-;-;-;9
"171250 MARIANOPOLIS DO TOCANTINS";1;-;-;-;1;5;-;-;-;-;-;-;-;-;-;-;-;1;-;8
"171270 MATEIROS";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;2
"171280 MAURILANDIA DO TOCANTINS";-;3;-;2;4;1;1;-;2;-;-;-;-;-;-;-;-;-;-;13
"171320 MIRACEMA DO TOCANTINS";2;62;15;33;36;66;57;35;29;22;5;10;23;1;4;25;-;-;-;425
"171330 MIRANORTE";-;50;28;30;53;72;83;82;8;16;5;4;9;1;-;4;-;-;-;445
"171360 MONTE DO CARMO";-;8;11;3;1;2;-;2;1;-;-;1;7;2;-;-;-;-;-;38
"171370 MONTE SANTO DO TOCANTINS";-;1;1;2;-;2;-;1;-;-;-;-;-;-;1;-;-;2;-;10
"171380 PALMEIRAS DO TOCANTINS";-;1;2;-;8;1;4;-;-;-;-;-;-;-;1;2;-;-;-;19
"171395 MURICILANDIA";-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"171420 NATIVIDADE";-;2;5;3;-;2;1;1;1;-;-;8;3;4;-;4;2;1;-;37
"171430 NAZARE";-;-;-;-;12;4;4;4;5;7;4;4;-;-;-;-;-;1;-;45
"171488 NOVA OLINDA";-;6;-;-;-;1;-;-;-;-;2;-;5;2;-;-;1;1;-;18
"171500 NOVA ROSALANDIA";-;-;-;1;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;4
"171510 NOVO ACORDO";-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"171515 NOVO ALEGRE";-;-;-;5;1;-;2;-;-;1;-;-;1;-;1;1;-;7;3;22
"171525 NOVO JARDIM";-;-;1;3;3;-;-;3;-;2;-;-;-;-;-;-;1;3;-;16
"171550 OLIVEIRA DE FATIMA";-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;7;10
"171570 PALMEIRANTE";-;1;-;1;-;-;2;2;3;1;-;1;1;2;-;-;-;-;-;14
"171575 PALMEIROPOLIS";-;27;-;18;5;-;35;8;10;1;-;1;1;-;-;7;7;5;4;129
"171610 PARAISO DO TOCANTINS";5;12;10;31;18;72;12;23;5;4;5;4;43;5;6;36;1;2;1;295
"171620 PARANA";-;6;1;6;20;-;9;4;2;3;8;3;6;-;9;10;2;14;27;130
"171630 PAU D'ARCO";2;4;4;7;6;5;6;4;3;2;1;4;1;2;11;5;4;-;3;74
"171650 PEDRO AFONSO";-;43;38;71;34;17;16;10;10;2;9;1;3;-;1;20;-;3;-;278
"171660 PEIXE";-;6;3;15;3;2;2;8;-;1;-;-;-;1;-;11;-;7;5;64
"171665 PEQUIZEIRO";-;2;1;2;1;3;2;-;-;2;-;-;-;-;-;1;-;-;-;14
"171670 COLMEIA";1;40;83;5;5;5;10;5;4;-;-;-;1;-;-;7;2;1;-;169
"171700 PINDORAMA DO TOCANTINS";-;8;-;-;5;-;-;-;-;-;1;1;-;-;2;2;-;-;-;19
"171720 PIRAQUE";-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;2;1;-;-;5
"171750 PIUM";-;92;15;41;27;67;44;37;39;63;13;2;8;-;7;28;13;17;6;519
"171780 PONTE ALTA DO BOM JESUS";-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;4
"171790 PONTE ALTA DO TOCANTINS";-;-;-;2;1;11;1;1;1;2;-;-;3;-;1;-;-;-;1;24
"171800 PORTO ALEGRE DO TOCANTINS";-;-;-;10;1;1;1;-;-;-;-;-;-;-;-;-;-;1;-;14
"171820 PORTO NACIONAL";1;46;60;63;34;21;14;13;10;5;4;35;99;10;30;51;4;6;23;529
"171830 PRAIA NORTE";3;21;12;6;10;7;4;-;3;1;3;-;-;-;-;1;-;-;-;71
"171840 PRESIDENTE KENNEDY";1;7;3;-;-;-;-;-;1;2;1;-;-;-;-;-;-;1;-;16
"171845 PUGMIL";-;1;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;4
"171850 RECURSOLANDIA";-;2;-;2;1;3;-;1;1;1;-;-;-;-;-;-;-;-;-;11
"171855 RIACHINHO";-;4;5;-;2;1;1;1;1;2;1;-;-;-;-;-;-;1;-;19
"171865 RIO DA CONCEICAO";-;1;1;2;1;-;-;1;1;1;1;-;-;-;-;2;1;9;-;21
"171870 RIO DOS BOIS";-;4;1;-;-;1;4;1;-;-;-;1;5;-;-;2;-;2;-;21
"171875 RIO SONO";-;1;-;-;1;-;-;2;-;-;-;-;1;-;1;1;-;-;-;7
"171880 SAMPAIO";8;18;9;7;6;2;2;2;2;1;1;-;-;-;-;-;-;-;1;59
"171884 SANDOLANDIA";-;3;6;34;12;12;29;21;11;8;5;2;4;1;1;-;2;1;2;154
"171886 SANTA FE DO ARAGUAIA";-;-;-;-;-;-;-;-;-;-;-;-;3;-;2;4;-;-;-;9
"171888 SANTA MARIA DO TOCANTINS";-;3;5;2;-;2;1;-;1;-;1;-;-;-;-;1;-;-;-;16
"171889 SANTA RITA DO TOCANTINS";-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;4
"171890 SANTA ROSA DO TOCANTINS";-;7;-;4;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;14
"171900 SANTA TEREZA DO TOCANTINS";-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"172000 SANTA TEREZINHA DO TOCANTINS";-;-;-;-;2;1;4;-;-;1;-;1;-;-;-;2;-;-;-;11
"172010 SAO BENTO DO TOCANTINS";1;-;-;1;2;1;4;-;-;-;-;-;-;-;2;-;-;-;-;11
"172015 SAO FELIX DO TOCANTINS";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;2
"172020 SAO MIGUEL DO TOCANTINS";1;8;2;3;3;2;-;-;-;-;-;-;-;-;-;3;1;-;-;23
"172025 SAO SALVADOR DO TOCANTINS";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;3
"172030 SAO SEBASTIAO DO TOCANTINS";1;1;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;5
"172049 SAO VALERIO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;1;-;4
"172065 SILVANOPOLIS";-;2;1;13;17;5;1;-;3;2;1;2;4;-;1;8;2;1;2;65
"172080 SITIO NOVO DO TOCANTINS";-;3;1;1;2;-;1;-;-;-;-;-;-;1;1;-;-;-;-;10
"172090 TAGUATINGA";-;-;-;6;3;3;11;-;3;-;1;1;-;1;4;16;6;18;1;74
"172093 TAIPAS DO TOCANTINS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2
"172097 TALISMA";-;1;-;-;-;1;2;4;1;2;-;1;1;-;-;1;-;2;-;16
"172100 PALMAS";2;35;29;41;53;72;29;18;25;19;18;12;45;10;28;64;7;12;-;519
"172110 TOCANTINIA";-;4;-;4;1;3;8;5;2;-;1;1;8;-;1;4;-;1;-;43
"172120 TOCANTINOPOLIS";4;1;17;2;46;33;25;9;4;18;2;1;5;4;11;37;2;1;2;224
"172125 TUPIRAMA";-;3;6;2;1;-;3;3;1;-;1;-;1;-;-;1;-;-;-;22
"172130 TUPIRATINS";-;4;2;-;1;1;-;-;-;-;-;-;2;-;-;-;-;4;-;14
"172208 WANDERLANDIA";-;5;3;-;-;1;-;1;-;-;-;1;2;-;3;2;2;2;-;22
"172210 XAMBIOA";4;40;37;30;1;13;18;6;1;12;19;5;24;9;6;19;4;7;8;263
"210005 ACAILANDIA";2;65;46;47;47;6;18;16;69;8;14;3;10;3;1;26;45;26;12;464
"210010 AFONSO CUNHA";-;-;-;-;-;-;-;6;7;42;-;1;4;-;1;-;-;-;-;61
"210015 AGUA DOCE DO MARANHAO";-;2;1;2;4;6;3;45;25;3;1;1;-;-;-;-;-;1;-;94
"210020 ALCANTARA";-;6;2;-;2;1;1;1;3;-;1;1;3;-;-;-;-;6;1;28
"210030 ALDEIAS ALTAS";-;23;161;22;7;-;27;56;145;276;208;77;24;9;7;14;17;19;12;1104
"210040 ALTAMIRA DO MARANHAO";-;3;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;5
"210043 ALTO ALEGRE DO MARANHAO";-;2;2;2;1;5;3;2;1;14;1;-;5;-;-;-;1;-;1;40
"210047 ALTO ALEGRE DO PINDARE";3;5;2;138;210;72;144;92;108;17;17;13;21;4;-;28;16;10;3;903
"210050 ALTO PARNAIBA";1;1;-;2;2;34;4;-;1;11;-;7;5;11;1;25;1;1;8;115
"210055 AMAPA DO MARANHAO";-;-;2;-;2;1;-;3;-;-;-;-;-;-;-;-;-;1;-;9
"210060 AMARANTE DO MARANHAO";6;49;4;9;23;21;11;8;25;30;16;19;124;16;-;1;13;6;1;382
"210070 ANAJATUBA";-;-;-;25;42;30;2;1;-;6;2;-;-;-;1;-;1;4;2;116
"210080 ANAPURUS";-;4;9;35;32;9;28;4;3;5;3;10;31;28;1;3;1;4;46;256
"210083 APICUM-ACU";-;-;-;1;3;-;-;41;26;17;2;3;1;12;-;-;-;-;10;116
"210087 ARAGUANA";-;-;1;-;-;1;2;9;7;12;10;-;-;-;-;1;3;-;1;47
"210090 ARAIOSES";-;87;6;4;26;66;-;21;90;4;14;1;7;-;1;2;1;2;-;332
"210095 ARAME";-;47;-;-;-;-;-;-;-;27;21;1;3;-;2;2;-;1;-;104
"210100 ARARI";-;1;10;1;1;2;1;2;1;-;1;1;-;-;-;4;1;1;-;27
"210110 AXIXA";3;5;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;2;-;12
"210120 BACABAL";-;31;10;10;31;38;11;6;5;49;13;1;-;4;-;12;24;21;4;270
"210125 BACABEIRA";-;1;1;-;-;-;-;-;-;2;-;-;-;-;-;-;3;7;1;15
"210130 BACURI";-;-;-;20;53;33;45;40;10;13;29;3;-;-;-;1;-;-;10;257
"210140 BALSAS";-;2;-;4;20;31;26;12;21;16;14;3;26;18;1;55;19;8;6;282
"210150 BARAO DE GRAJAU";-;23;35;213;54;57;16;2;1;19;21;9;34;1;5;6;2;11;3;512
"210160 BARRA DO CORDA";1;12;20;2;33;11;6;3;29;27;2;2;21;2;38;1;-;20;3;233
"210170 BARREIRINHAS";1;2;-;-;38;5;1;4;3;1;1;-;1;-;-;1;-;1;-;59
"210173 BELAGUA";-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;1;-;4
"210177 BELA VISTA DO MARANHAO";-;-;-;2;2;1;-;1;16;26;25;5;17;-;-;-;6;2;-;103
"210180 BENEDITO LEITE";-;-;1;11;19;39;9;2;6;1;2;-;2;-;-;-;-;7;-;99
"210190 BEQUIMAO";-;29;-;2;49;15;6;4;16;11;-;3;1;-;-;1;3;-;-;140
"210193 BERNARDO DO MEARIM";-;-;1;3;1;3;4;12;2;2;2;2;-;-;-;1;1;-;-;34
"210197 BOA VISTA DO GURUPI";-;1;1;-;1;-;1;1;-;55;-;-;-;-;-;-;-;-;-;60
"210200 BOM JARDIM";3;44;12;34;127;86;31;19;53;83;15;3;8;4;1;10;8;8;6;555
"210203 BOM JESUS DAS SELVAS";-;2;4;9;13;46;10;5;2;2;7;3;11;1;-;2;5;-;30;152
"210207 BOM LUGAR";-;-;1;-;3;2;1;-;-;-;-;-;-;-;-;1;-;1;-;9
"210210 BREJO";9;172;56;167;285;147;14;17;185;124;8;1;1;3;-;-;-;12;9;1210
"210215 BREJO DE AREIA";-;2;-;-;1;2;-;-;1;-;1;2;-;-;-;-;2;-;1;12
"210220 BURITI";-;-;-;-;5;-;1;1;1;5;2;-;2;-;-;11;1;3;5;37
"210230 BURITI BRAVO";-;8;58;13;69;24;31;10;62;116;2;3;9;5;1;8;1;44;46;510
"210232 BURITICUPU";-;2;7;56;87;27;26;28;49;56;-;12;5;2;-;7;3;-;90;457
"210235 BURITIRANA";-;1;-;1;1;1;2;1;-;1;-;1;2;-;-;-;1;-;-;12
"210237 CACHOEIRA GRANDE";-;-;-;1;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"210240 CAJAPIO";-;-;2;2;2;6;4;-;1;1;-;1;4;2;-;-;1;-;-;26
"210250 CAJARI";-;2;8;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;13
"210255 CAMPESTRE DO MARANHAO";1;9;9;12;9;2;4;-;3;2;-;1;7;-;-;1;-;-;-;60
"210260 CANDIDO MENDES";-;2;-;4;12;21;-;21;1;1;5;2;3;-;-;-;-;-;2;74
"210270 CANTANHEDE";-;1;-;3;26;47;72;50;21;5;3;-;-;-;-;-;1;1;-;230
"210275 CAPINZAL DO NORTE";-;3;10;-;11;3;3;-;2;11;-;-;3;-;-;-;-;-;-;46
